n_id_kabko,d_date,n_pm10,n_pm2_5
1,2023-11-03T00:00,69.8,48.2
1,2023-11-03T01:00,71.7,49.5
1,2023-11-03T02:00,66.6,45.3
1,2023-11-03T03:00,60.1,40.6
1,2023-11-03T04:00,61.0,41.2
1,2023-11-03T05:00,64.5,43.8
1,2023-11-03T06:00,71.2,48.5
1,2023-11-03T07:00,79.2,54.1
1,2023-11-03T08:00,88.0,60.3
1,2023-11-03T09:00,101.5,69.6
1,2023-11-03T10:00,90.6,62.2
1,2023-11-03T11:00,75.9,51.9
1,2023-11-03T12:00,89.2,61.0
1,2023-11-03T13:00,96.9,66.6
1,2023-11-03T14:00,94.8,65.2
1,2023-11-03T15:00,91.5,62.9
1,2023-11-03T16:00,93.4,64.3
1,2023-11-03T17:00,98.7,68.0
1,2023-11-03T18:00,108.3,75.0
1,2023-11-03T19:00,119.7,83.1
1,2023-11-03T20:00,129.5,89.9
1,2023-11-03T21:00,135.5,94.3
1,2023-11-03T22:00,139.2,96.9
1,2023-11-03T23:00,140.6,98.0
2,2023-11-03T00:00,23.9,14.4
2,2023-11-03T01:00,23.3,13.8
2,2023-11-03T02:00,23.2,13.8
2,2023-11-03T03:00,22.1,13.0
2,2023-11-03T04:00,22.1,13.1
2,2023-11-03T05:00,20.0,12.0
2,2023-11-03T06:00,18.5,11.1
2,2023-11-03T07:00,17.6,10.6
2,2023-11-03T08:00,17.4,10.4
2,2023-11-03T09:00,17.9,10.7
2,2023-11-03T10:00,18.3,11.0
2,2023-11-03T11:00,18.5,11.1
2,2023-11-03T12:00,17.6,10.7
2,2023-11-03T13:00,16.8,10.1
2,2023-11-03T14:00,16.1,9.7
2,2023-11-03T15:00,15.3,9.3
2,2023-11-03T16:00,15.0,9.1
2,2023-11-03T17:00,14.7,8.9
2,2023-11-03T18:00,14.3,8.7
2,2023-11-03T19:00,14.0,8.4
2,2023-11-03T20:00,13.4,8.1
2,2023-11-03T21:00,13.0,7.9
2,2023-11-03T22:00,12.9,7.8
2,2023-11-03T23:00,13.2,8.0
3,2023-11-03T00:00,12.9,8.7
3,2023-11-03T01:00,11.5,7.5
3,2023-11-03T02:00,17.1,11.3
3,2023-11-03T03:00,22.8,15.3
3,2023-11-03T04:00,26.4,17.9
3,2023-11-03T05:00,29.2,19.8
3,2023-11-03T06:00,32.4,22.1
