n_id_kabko,d_date,n_pm10,n_pm2_5
1,2023-11-05T00:00,43.4,29.9
1,2023-11-05T01:00,44.0,30.4
1,2023-11-05T02:00,44.4,30.4
1,2023-11-05T03:00,41.0,28.0
1,2023-11-05T04:00,40.0,27.5
1,2023-11-05T05:00,41.6,28.6
1,2023-11-05T06:00,54.0,37.3
1,2023-11-05T07:00,63.8,44.2
1,2023-11-05T08:00,65.9,45.8
1,2023-11-05T09:00,70.1,48.7
1,2023-11-05T10:00,66.4,46.1
1,2023-11-05T11:00,65.9,45.9
1,2023-11-05T12:00,72.2,50.3
1,2023-11-05T13:00,79.9,55.8
1,2023-11-05T14:00,79.4,55.4
1,2023-11-05T15:00,78.2,54.7
1,2023-11-05T16:00,77.3,54.1
1,2023-11-05T17:00,75.2,52.5
1,2023-11-05T18:00,74.0,51.7
1,2023-11-05T19:00,75.2,52.6
1,2023-11-05T20:00,76.8,53.7
1,2023-11-05T21:00,78.5,54.8
1,2023-11-05T22:00,78.0,54.5
1,2023-11-05T23:00,77.1,53.8
2,2023-11-05T00:00,10.3,6.8
2,2023-11-05T01:00,8.2,5.4
2,2023-11-05T02:00,8.6,5.6
2,2023-11-05T03:00,6.5,4.3
2,2023-11-05T04:00,6.7,4.4
2,2023-11-05T05:00,6.8,4.4
2,2023-11-05T06:00,6.5,4.2
2,2023-11-05T07:00,6.8,4.3
2,2023-11-05T08:00,6.0,3.8
2,2023-11-05T09:00,6.0,3.7
2,2023-11-05T10:00,6.1,3.8
2,2023-11-05T11:00,6.6,4.1
2,2023-11-05T12:00,7.0,4.4
2,2023-11-05T13:00,7.1,4.5
2,2023-11-05T14:00,7.9,5.1
2,2023-11-05T15:00,8.6,5.6
2,2023-11-05T16:00,9.2,6.1
2,2023-11-05T17:00,9.6,6.3
2,2023-11-05T18:00,9.7,6.4
2,2023-11-05T19:00,9.6,6.4
2,2023-11-05T20:00,9.8,6.5
2,2023-11-05T21:00,9.7,6.5
2,2023-11-05T22:00,9.6,6.4
2,2023-11-05T23:00,10.3,6.9
3,2023-11-05T00:00,44.7,30.4
3,2023-11-05T01:00,38.6,26.0
3,2023-11-05T02:00,41.3,27.9
3,2023-11-05T03:00,37.6,25.6
3,2023-11-05T04:00,32.2,22.1
3,2023-11-05T05:00,27.3,18.7
3,2023-11-05T06:00,27.3,18.7
3,2023-11-05T07:00,22.1,15.3
3,2023-11-05T08:00,18.8,13.0
3,2023-11-05T09:00,17.5,12.0
3,2023-11-05T10:00,18.0,12.5
3,2023-11-05T11:00,25.6,17.8
3,2023-11-05T12:00,36.9,25.7
3,2023-11-05T13:00,49.8,34.7
3,2023-11-05T14:00,60.5,42.1
3,2023-11-05T15:00,62.6,43.7
3,2023-11-05T16:00,60.3,42.1
3,2023-11-05T17:00,56.2,39.2
3,2023-11-05T18:00,56.8,39.6
3,2023-11-05T19:00,59.1,41.1
3,2023-11-05T20:00,58.0,40.4
3,2023-11-05T21:00,52.6,36.6
3,2023-11-05T22:00,48.4,33.6
3,2023-11-05T23:00,46.4,32.4
