n_id_kabko,d_date,n_temperature_2m,n_relativehumidity_2m,n_visibility,n_uv_index
1,2023-11-05T00:00,26.0,93,24140.0,0.8
1,2023-11-05T01:00,27.2,88,24140.0,2.65
1,2023-11-05T02:00,27.9,85,24140.0,4.95
1,2023-11-05T03:00,28.9,80,24140.0,7.05
1,2023-11-05T04:00,30.5,71,24140.0,8.5
1,2023-11-05T05:00,31.9,65,24000.0,5.5
1,2023-11-05T06:00,32.5,62,24140.0,2.0
1,2023-11-05T07:00,32.4,62,24140.0,2.6
1,2023-11-05T08:00,31.9,63,24140.0,1.05
1,2023-11-05T09:00,31.5,65,24140.0,0.35
1,2023-11-05T10:00,30.4,70,24140.0,0.55
1,2023-11-05T11:00,28.6,76,24140.0,0.1
1,2023-11-05T12:00,26.9,82,24140.0,0.0
1,2023-11-05T13:00,25.9,87,24140.0,0.0
1,2023-11-05T14:00,25.3,90,24140.0,0.0
1,2023-11-05T15:00,25.1,90,24140.0,0.0
1,2023-11-05T16:00,24.9,90,24140.0,0.0
1,2023-11-05T17:00,24.7,90,24140.0,0.0
1,2023-11-05T18:00,24.5,90,24140.0,0.0
1,2023-11-05T19:00,24.3,91,24140.0,0.0
1,2023-11-05T20:00,24.2,91,24140.0,0.0
1,2023-11-05T21:00,24.1,92,24140.0,0.0
1,2023-11-05T22:00,24.0,92,24140.0,0.0
1,2023-11-05T23:00,24.2,92,24140.0,0.05
2,2023-11-05T00:00,26.3,93,24140.0,1.1
2,2023-11-05T01:00,28.0,84,24140.0,3.1
2,2023-11-05T02:00,29.2,77,24140.0,5.35
2,2023-11-05T03:00,30.0,72,24140.0,7.35
2,2023-11-05T04:00,30.9,67,24140.0,8.7
2,2023-11-05T05:00,31.3,66,24140.0,8.65
2,2023-11-05T06:00,30.3,69,24140.0,4.35
2,2023-11-05T07:00,29.2,74,16140.0,1.15
2,2023-11-05T08:00,29.2,75,16640.0,1.0
2,2023-11-05T09:00,29.3,75,24140.0,0.9
2,2023-11-05T10:00,28.3,77,24140.0,0.65
2,2023-11-05T11:00,27.3,84,24140.0,0.1
2,2023-11-05T12:00,26.5,88,24140.0,0.0
2,2023-11-05T13:00,25.9,91,24140.0,0.0
2,2023-11-05T14:00,25.6,92,24140.0,0.0
2,2023-11-05T15:00,25.4,92,24140.0,0.0
2,2023-11-05T16:00,25.2,92,24140.0,0.0
2,2023-11-05T17:00,25.0,93,24140.0,0.0
2,2023-11-05T18:00,24.9,93,24140.0,0.0
2,2023-11-05T19:00,24.7,94,24140.0,0.0
2,2023-11-05T20:00,24.7,94,24140.0,0.0
2,2023-11-05T21:00,24.7,94,24140.0,0.0
2,2023-11-05T22:00,24.8,94,24140.0,0.0
2,2023-11-05T23:00,25.0,94,24140.0,0.1
3,2023-11-05T00:00,26.1,93,24140.0,0.85
3,2023-11-05T01:00,27.3,86,24140.0,2.7
3,2023-11-05T02:00,28.7,77,24140.0,5.05
3,2023-11-05T03:00,29.7,72,22680.0,6.45
3,2023-11-05T04:00,30.9,67,6880.0,8.45
3,2023-11-05T05:00,31.7,62,24140.0,9.05
3,2023-11-05T06:00,30.5,70,24140.0,8.1
3,2023-11-05T07:00,29.8,72,22800.0,7.5
3,2023-11-05T08:00,29.3,74,22720.0,5.65
3,2023-11-05T09:00,28.9,75,7360.0,3.15
3,2023-11-05T10:00,28.7,75,14680.0,1.45
3,2023-11-05T11:00,28.3,77,23060.0,0.25
3,2023-11-05T12:00,27.9,80,24060.0,0.0
3,2023-11-05T13:00,27.5,82,24060.0,0.0
3,2023-11-05T14:00,27.0,85,22640.0,0.0
3,2023-11-05T15:00,26.5,87,24140.0,0.0
3,2023-11-05T16:00,26.2,88,24140.0,0.0
3,2023-11-05T17:00,26.0,89,6420.0,0.0
3,2023-11-05T18:00,25.8,91,16820.0,0.0
3,2023-11-05T19:00,25.5,92,24140.0,0.0
3,2023-11-05T20:00,25.4,93,24140.0,0.0
3,2023-11-05T21:00,25.1,94,24140.0,0.0
3,2023-11-05T22:00,25.1,95,24140.0,0.0
3,2023-11-05T23:00,25.1,95,24140.0,0.05
4,2023-11-05T00:00,25.7,86,24140.0,1.1
4,2023-11-05T01:00,26.7,84,24140.0,3.1
4,2023-11-05T02:00,28.5,75,24140.0,5.4
4,2023-11-05T03:00,29.7,71,24140.0,7.05
4,2023-11-05T04:00,30.6,68,24140.0,8.15
4,2023-11-05T05:00,31.6,63,24140.0,7.75
4,2023-11-05T06:00,32.3,60,23380.0,7.3
4,2023-11-05T07:00,31.7,63,23320.0,4.6
4,2023-11-05T08:00,30.4,70,22700.0,4.9
4,2023-11-05T09:00,29.4,73,6360.0,3.5
4,2023-11-05T10:00,28.3,77,7920.0,1.4
4,2023-11-05T11:00,27.7,80,24140.0,0.2
4,2023-11-05T12:00,27.1,82,3980.0,0.0
4,2023-11-05T13:00,26.7,84,5040.0,0.0
