n_id_kabko,d_date,n_temperature_2m,n_relativehumidity_2m,n_visibility,n_uv_index
1,2023-11-04T00:00,26.2,89,24140.0,0.65
1,2023-11-04T01:00,27.7,84,24140.0,2.3
1,2023-11-04T02:00,29.2,79,24140.0,4.75
1,2023-11-04T03:00,30.9,70,24140.0,6.9
1,2023-11-04T04:00,31.4,67,24140.0,8.45
1,2023-11-04T05:00,33.0,62,24140.0,8.4
1,2023-11-04T06:00,34.0,56,24140.0,2.65
1,2023-11-04T07:00,33.2,59,24140.0,4.5
1,2023-11-04T08:00,32.1,64,24140.0,3.3
1,2023-11-04T09:00,29.1,76,24140.0,1.15
1,2023-11-04T10:00,28.3,79,11120.0,0.45
1,2023-11-04T11:00,27.6,82,24140.0,0.05
1,2023-11-04T12:00,27.1,86,24140.0,0.0
1,2023-11-04T13:00,26.8,87,24140.0,0.0
1,2023-11-04T14:00,26.8,88,24140.0,0.0
1,2023-11-04T15:00,26.5,91,24140.0,0.0
1,2023-11-04T16:00,26.2,93,24140.0,0.0
1,2023-11-04T17:00,25.8,93,24140.0,0.0
1,2023-11-04T18:00,25.6,94,22280.0,0.0
1,2023-11-04T19:00,25.5,94,24140.0,0.0
1,2023-11-04T20:00,25.4,95,24140.0,0.0
1,2023-11-04T21:00,25.2,95,24140.0,0.0
1,2023-11-04T22:00,25.2,95,24140.0,0.0
1,2023-11-04T23:00,25.2,95,24140.0,0.05
2,2023-11-04T00:00,26.2,92,6560.0,0.2
2,2023-11-04T01:00,27.8,87,24140.0,1.0
2,2023-11-04T02:00,29.2,78,24140.0,4.6
2,2023-11-04T03:00,30.4,72,24140.0,7.35
2,2023-11-04T04:00,31.3,65,24140.0,8.7
2,2023-11-04T05:00,32.2,64,24140.0,9.2
2,2023-11-04T06:00,31.7,66,14340.0,5.3
2,2023-11-04T07:00,31.1,68,13600.0,1.0
2,2023-11-04T08:00,30.1,74,14840.0,3.35
2,2023-11-04T09:00,29.3,76,15120.0,2.35
2,2023-11-04T10:00,28.3,81,24140.0,0.9
2,2023-11-04T11:00,27.2,87,24140.0,0.1
2,2023-11-04T12:00,26.4,91,13920.0,0.0
2,2023-11-04T13:00,26.1,92,14800.0,0.0
2,2023-11-04T14:00,26.0,91,24140.0,0.0
2,2023-11-04T15:00,25.9,90,24140.0,0.0
2,2023-11-04T16:00,25.7,90,24140.0,0.0
2,2023-11-04T17:00,25.5,91,24140.0,0.0
2,2023-11-04T18:00,25.3,91,24140.0,0.0
2,2023-11-04T19:00,25.1,92,24140.0,0.0
2,2023-11-04T20:00,24.7,93,24140.0,0.0
2,2023-11-04T21:00,24.3,94,24140.0,0.0
2,2023-11-04T22:00,24.0,95,24140.0,0.0
2,2023-11-04T23:00,24.1,95,24140.0,0.1
3,2023-11-04T00:00,27.3,86,14940.0,0.95
3,2023-11-04T01:00,28.7,78,24140.0,2.85
3,2023-11-04T02:00,30.1,70,24140.0,4.95
3,2023-11-04T03:00,31.4,64,24140.0,7.25
3,2023-11-04T04:00,31.9,61,24140.0,8.65
3,2023-11-04T05:00,32.7,59,24140.0,8.4
3,2023-11-04T06:00,31.2,68,24140.0,6.5
3,2023-11-04T07:00,30.5,72,24140.0,3.05
3,2023-11-04T08:00,29.5,76,24140.0,2.85
3,2023-11-04T09:00,29.5,74,24140.0,3.25
3,2023-11-04T10:00,28.7,77,24140.0,1.65
3,2023-11-04T11:00,28.1,80,22700.0,0.25
3,2023-11-04T12:00,27.6,84,24140.0,0.0
3,2023-11-04T13:00,27.3,86,24140.0,0.0
3,2023-11-04T14:00,27.2,86,24140.0,0.0
3,2023-11-04T15:00,27.0,87,22860.0,0.0
3,2023-11-04T16:00,26.8,88,24140.0,0.0
3,2023-11-04T17:00,26.4,89,24140.0,0.0
3,2023-11-04T18:00,26.1,90,24140.0,0.0
3,2023-11-04T19:00,26.0,91,24140.0,0.0
3,2023-11-04T20:00,25.8,92,24140.0,0.0
3,2023-11-04T21:00,25.6,92,24140.0,0.0
3,2023-11-04T22:00,25.5,93,24140.0,0.0
3,2023-11-04T23:00,25.4,93,24140.0,0.05
4,2023-11-04T00:00,27.0,85,24140.0,1.1
4,2023-11-04T01:00,28.7,76,24140.0,3.05
4,2023-11-04T02:00,30.5,67,24140.0,4.9
4,2023-11-04T03:00,32.1,59,24140.0,6.8
4,2023-11-04T04:00,33.4,54,8240.0,7.9
4,2023-11-04T05:00,34.0,51,24140.0,8.8
4,2023-11-04T06:00,34.2,51,24140.0,6.85
4,2023-11-04T07:00,33.3,57,24140.0,4.45
4,2023-11-04T08:00,30.5,72,24140.0,3.6
4,2023-11-04T09:00,29.5,75,24140.0,2.75
4,2023-11-04T10:00,28.2,78,24140.0,1.1
4,2023-11-04T11:00,27.6,80,3540.0,0.2
4,2023-11-04T12:00,26.9,83,4280.0,0.0
4,2023-11-04T13:00,26.2,84,4780.0,0.0
4,2023-11-04T14:00,25.5,82,5080.0,0.0
4,2023-11-04T15:00,25.1,83,24140.0,0.0
4,2023-11-04T16:00,24.9,83,24140.0,0.0
4,2023-11-04T17:00,24.8,84,24140.0,0.0
4,2023-11-04T18:00,24.7,86,24140.0,0.0
4,2023-11-04T19:00,24.6,88,24140.0,0.0
4,2023-11-04T20:00,24.5,89,24140.0,0.0
4,2023-11-04T21:00,24.6,89,24140.0,0.0
4,2023-11-04T22:00,24.6,90,24140.0,0.0
4,2023-11-04T23:00,24.8,90,24140.0,0.1
5,2023-11-04T00:00,28.0,83,24140.0,1.2
5,2023-11-04T01:00,29.7,72,24140.0,3.1
5,2023-11-04T02:00,31.4,63,24140.0,5.35
5,2023-11-04T03:00,32.5,58,24140.0,7.2
